syllabified	notSyllabified	numeric
gen;er;al;i;za;tion	generalization	10010101101000
post;par;tum	postpartum	1000100100
chi;ro;prac;tic	chiropractic	100101000100
di;al;er	dialer	101010
elem	elem	1000
um;bra	umbra	10100
bin;go	bingo	10010
goi	goi	100
suit;case	suitcase	10001000
lox	lox	100
clin;i;cal;ly	clinically	1000110010
en;grav;er	engraver	10100010
cush;ion	cushion	1000100
mo;tor;ist	motorist	10100100
lav	lav	100
re;pair	repair	101000
lev;el;ing	leveling	10010100
gate;way	gateway	1000100
in;dus;tri;al	industrial	1010010010
hy;po	hypo	1010
drows;y	drowsy	100001
tran;si;tion;al	transitional	100010100010
quet;zal	quetzal	1000100
swam	swam	1000
char;is;mat;ic	charismatic	10001010010
con;spir;ing	conspiring	1001000100
scrip	scrip	10000
ir;re;sist;i;ble	irresistible	101010001100
cat;a;stroph;ic	catastrophic	100110000010
stum;ble	stumble	1000100
grat;ing	grating	1000100
u;ni;form;ly	uniformly	110100010
di;al;ing	dialing	1010100
staunch	staunch	1000000
alias	alias	10000
per;chlo;rate	perchlorate	10010001000
dis;prove	disprove	10010000
gig;o;lo	gigolo	100110
en;act	enact	10100
var;i;a;tion;al	variational	10011100010
lar;go	largo	10010
pre;oc;cu;pa;tion	preoccupation	1001010101000
op;er;a;tion;al	operational	10101100010
ath;er;o;scle;ro;sis	atherosclerosis	100101100010100
flow	flow	1000
az;ide	azide	10100
con;i;cal	conical	1001100
en;thralled	enthralled	1010000000
mer;chan;dise	merchandise	10010001000
cham;ber	chamber	1000100
sup;plied	supplied	10010000
def	def	100
plas;ter	plaster	1000100
puss;ies	pussies	1000100
hy;po;thet;i;cal	hypothetical	101010001100
sub;ur;bi;a	suburbia	10010101
stal;lion	stallion	10001000
freez;ing	freezing	10000100
tax;is	taxis	10010
a;or;tic	aortic	110100
re;spec;tive;ly	respectively	101000100010
ging;ham	gingham	1000100
un;der;arm	underarm	10100100
wor;ship	worship	1001000
strong;hold	stronghold	1000001000
de;light	delight	1010000
mort	mort	1000
prin;ci;pal;ly	principally	10001010010
ha;bit;u;al	habitual	10100110
ghet;to	ghetto	100010
ex;tend	extend	101000
im;port;er	importer	10100010
ge;o;met;ri;cal;ly	geometrically	1011001010010
orc	orc	100
fen;nel	fennel	100100
rains	rains	10000
ad;vo;cat;ing	advocating	1010100100
sec;ond;ar;y	secondary	100100101
con;fec;tion;er;y	confectionery	1001001000101
ra;pid;i;ty	rapidity	10100110
wright	wright	100000
dodge	dodge	10000
mar;ry	marry	10010
trip;ping	tripping	10001000
op;u;lent	opulent	1011000
pol;is	polis	10010
fish;net	fishnet	1000100
whole;heart;ed;ly	wholeheartedly	10000100001010
tis;sue	tissue	100100
noc;turne	nocturne	10010000
mit;i;gate	mitigate	10011000
con;tin;u;ous;ly	continuously	100100110010
co;zy	cozy	1010
pro;le;tar;i;at	proletariat	10010100110
ev;i;denced	evidenced	101100000
sub;ver;sion	subversion	1001001000
re;gion	region	101000
the;mat;ic	thematic	10010010
cis;co	cisco	10010
sen;ior	senior	100100
in;volv;ing	involving	101000100
ap;pen;di;ci;tis	appendicitis	101001010100
squash	squash	100000
can;teen	canteen	1001000
dock;et	docket	100010
su;per;vis;ing	supervising	10100100100
con;su;lar	consular	10010100
friv;o;lous	frivolous	100011000
pro;lif;er;a;tion	proliferation	1001001011000
smith	smith	10000
pen;chant	penchant	10010000
in;bound	inbound	1010000
pa;ter;ni;ty	paternity	101001010
ri;par;i;an	riparian	10100110
vis;cer;al	visceral	10010010
pueb;lo	pueblo	100010
assn	assn	1000
fin;ish;er	finisher	10010010
rec;re;a;tion	recreation	1001011000
tu;na	tuna	1010
pho;tog;ra;pher	photographer	100100101000
ba;bu	babu	1010
dis;tort	distort	1001000
shred;ded	shredded	10000100
in;ap;pli;ca;ble	inapplicable	101010010100
nos	nos	100
con;so;la;tion	consolation	10010101000
com;ply	comply	100100
in;sti;tut;ed	instituted	1010010010
con;tam;i;nate	contaminate	10010011000
fish;eye	fisheye	1000100
sur;ly	surly	10010
shout	shout	10000
type;set	typeset	1000100
o;ver;whelm;ing	overwhelming	110010000100
par;a;phrase	paraphrase	1001100000
wid;en;er	widener	1001010
cy;ber;net;ics	cybernetics	10100100100
tech;nique	technique	100010000
dried	dried	10000
de;cep;tive;ly	deceptively	10100100010
wom;bat	wombat	100100
po;lyg;a;my	polygamy	10100110
oc;cur	occur	10100
there;of	thereof	1000010
deal;ings	dealings	10001000
pho;no	phono	10010
tam;a;rind	tamarind	10011000
com;pla;cent	complacent	1001001000
front	front	10000
flut;ed	fluted	100010
blue;ber;ry	blueberry	100010010
no;ti;fy	notify	101010
stew	stew	1000
caught	caught	100000
e;lec;tron	electron	11001000
vouch;er	voucher	1000010
ad;ver;tis;er	advertiser	1010010010
deu;ter;i;um	deuterium	100100110
in;ner;va;tion	innervation	10100101000
bom;bard;ment	bombardment	10010001000
dic;tion;ar;ies	dictionaries	100100010100
mis;ter	mister	100100
howl;ing	howling	1000100
bak;er;ies	bakeries	10010100
head;lin;ing	headlining	1000100100
brain;storm	brainstorm	1000010000
wide	wide	1000
un;af;fil;i;at;ed	unaffiliated	101010011010
dis;re;gard	disregard	100101000
forme	forme	10000
con;for;mal	conformal	100100100
lac;y	lacy	1001
cov;er;ing	covering	10010100
smooth;ie	smoothie	10000010
pol;y;gon	polygon	1001100
gey;ser	geyser	100100
ab;la;tion	ablation	10101000
thro	thro	1000
break;up	breakup	1000010
lon;gi;tu;di;nal	longitudinal	100101010100
sick;le	sickle	100010
bapt	bapt	1000
re;frain	refrain	1010000
a;bor;tion	abortion	11001000
in;ex;pen;sive;ly	inexpensively	1010100100010
neigh;bor;hood	neighborhood	100001001000
ser;vi;tude	servitude	100101000
un;armed	unarmed	1010000
ear	ear	100
jct	jct	100
ma;rim;ba	marimba	1010010
ra;di;o;graph;ic	radiographic	101011000010
gang	gang	1000
bead;work	beadwork	10001000
au;then;tic;i;ty	authenticity	101000100110
diy	diy	100
in;trude	intrude	1010000
bur;den	burden	100100
hard;wood	hardwood	10001000
yes;ter;year	yesteryear	1001001000
un;ru;ly	unruly	101010
in;ter;re;lat;ed	interrelated	101001010010
grudge	grudge	100000
de;vi;ate	deviate	1010100
crook	crook	10000
fog;gy	foggy	10010
al;le;vi;ate	alleviate	101010100
mam;bo	mambo	10010
en;forced	enforced	10100000
cru;ci;ble	crucible	10010100
cu;ri;os	curios	101010
sta;ble	stable	100100
re;frig;er;a;tion	refrigeration	1010001011000
li;vre	livre	10100
zeal	zeal	1000
wealth;i;est	wealthiest	1000001100
sad;ism	sadism	100100
af;ford	afford	101000
rhu;barb	rhubarb	1001000
shunt	shunt	10000
mild	mild	1000
ush;er	usher	10010
a;sym;met;ric	asymmetric	1100100100
thine	thine	10000
op;tion;al	optional	10100010
rust;y	rusty	10001
bump	bump	1000
kil;os	kilos	10010
low;ing	lowing	100100
chat;ted	chatted	1000100
pss	pss	100
struck	struck	100000
dun;ning	dunning	1001000
hor;rid	horrid	100100
bor;der;less	borderless	1001001000
pride	pride	10000
cre;at;ing	creating	10010100
con;fi;den;ti;al;i;ty	confidentiality	100101001010110
e;lat;ed	elated	110010
pli;a;ble	pliable	1001100
un;im;ag;i;na;ble	unimaginable	101010110100
av;e;nue	avenue	101100
mo;tor;ised	motorised	101001000
re;in;sur;ance	reinsurance	10101001000
pu;ri;fy;ing	purifying	101010100
curv;y	curvy	10001
vols	vols	1000
con;ver;gence	convergence	10010010000
pitch;fork	pitchfork	100001000
book;ie	bookie	100010
cull	cull	1000
lyr;i;cist	lyricist	10011000
meth;yl;a;tion	methylation	10001011000
theme	theme	10000
li;cen;see	licensee	10100100
ween	ween	1000
hu;mi;dor	humidor	1010100
sedge	sedge	10000
grat;i;tude	gratitude	100011000
mon;o;mer	monomer	1001100
mod;eled	modeled	1001000
noose	noose	10000
ep;och	epoch	10100
in;no;vate	innovate	10101000
air;flow	airflow	1001000
mil;lion	million	1001000
eq;ui;ta;bly	equitably	101010100
fore;skin	foreskin	10001000
screwed	screwed	1000000
vine	vine	1000
curs;ed	cursed	100010
con;sta;ble	constable	100100100
dai;ly	daily	10010
ab;sorb;ance	absorbance	1010001000
bold	bold	1000
glan;du;lar	glandular	100010100
mu;co;sa	mucosa	101010
tile	tile	1000
car;di;ol;o;gy	cardiology	1001010110
co;a;li;tion	coalition	101101000
gli;al	glial	10010
pre;ced;ed	preceded	10010010
mod;el	model	10010
sou	sou	100
gen;e;sis	genesis	1001100
vot;ing	voting	100100
di;ges;tive	digestive	101001000
bul;le;tin	bulletin	10010100
had	had	100
quad;ra;ture	quadrature	1000101000
re;fine	refine	101000
re;flex	reflex	101000
fil;ly	filly	10010
un;der;tak;ing	undertaking	10100100100
u;til;i;ty	utility	1100110
sup;port;ing	supporting	1001000100
re;use	reuse	10100
haunt;ing	haunting	10000100
lith;o;graph	lithograph	1000110000
shrunk	shrunk	100000
cher;ub	cherub	100010
bar;ris;ter	barrister	100100100
de;nom;i;na;tion;al	denominational	10100110100010
fol;low	follow	100100
nick	nick	1000
ra;di;a;tive	radiative	101011000
mech	mech	1000
poop	poop	1000
nat;u;ral;ism	naturalism	1001100100
chop;per	chopper	1000100
clar;y	clary	10001
mod;u;lar;i;ty	modularity	1001100110
bard	bard	1000
un;ex;plored	unexplored	1010100000
mut;ton	mutton	100100
round	round	10000
free;lanc;er	freelancer	1000100010
ta;ma;ra	tamara	101010
rag;lan	raglan	100100
she	she	100
kite	kite	1000
up;stairs	upstairs	10100000
in;stal;ling	installing	1010001000
bomb;shell	bombshell	100010000
lift	lift	1000
em;pha;sise	emphasise	101001000
ba;sis	basis	10100
ex;plan;a;to;ry	explanatory	10100011010
snow;flake	snowflake	100010000
sam;ple	sample	100100
po;ta;ble	potable	1010100
near;ly	nearly	100010
cov;er;age	coverage	10010100
unb	unb	100
o;me;ga	omega	11010
no;bil;i;ty	nobility	10100110
ty;po;graph;ic	typographic	10101000010
sub;stance	substance	100100000
quin;ton	quinton	1000100
i;on;i;za;tion	ionization	1101101000
brag	brag	1000
check;ers	checkers	10000100
dee;jay	deejay	100100
head;ing	heading	1000100
sum;mons	summons	1001000
flash;er	flasher	1000010
ea;ger;ly	eagerly	1010010
in;volved	involved	10100000
crosse	crosse	100000
ver;so	verso	10010
court;house	courthouse	1000010000
sen	sen	100
pur;ple	purple	100100
intr	intr	1000
slim;ming	slimming	10001000
or;gan;ist	organist	10100100
pos	pos	100
breath;ing	breathing	100000100
bay;ou	bayou	10010
bri;gade	brigade	1001000
pro;hib;it	prohibit	10010010
choc;o;late	chocolate	100011000
con;nect	connect	1001000
sake	sake	1000
res;pi;ra;to;ry	respiratory	10010101010
rat;i;fy	ratify	100110
till;age	tillage	1000100
vo;li;tion	volition	10101000
con;cus;sion	concussion	1001001000
ton;ing	toning	100100
geom	geom	1000
wreath	wreath	100000
sigh	sigh	1000
con;to	conto	10010
dis;like	dislike	1001000
juke;box	jukebox	1000100
in;dus;tri;al;i;za;tion	industrialization	10100100101101000
pu;ri;fy	purify	101010
glass;es	glasses	1000010
a;strag;a;lus	astragalus	1100001100
en;do;car;di;tis	endocarditis	101010010100
baud	baud	1000
qui;et;er	quieter	1001010
fresh	fresh	10000
sap	sap	100
thin	thin	1000
pres;sure	pressure	10001000
slop;ing	sloping	1000100
tat	tat	100
yeah	yeah	1000
un;pro;fes;sion;al	unprofessional	10100100100010
flaw	flaw	1000
ful;fill	fulfill	1001000
white	white	10000
fright;en	frighten	10000010
plaque	plaque	100000
min;ion	minion	100100
cal;cu;la;tor	calculator	1001010100
in;quir;y	inquiry	1010001
as;sam	assam	10100
dread	dread	10000
clear;ance	clearance	100001000
read;ing	reading	1000100
met;ro;ni;da;zole	metronidazole	1001010101000
fore;gone	foregone	10001000
per;en;ni;al	perennial	100101010
cos;met;ic	cosmetic	10010010
belt	belt	1000
leg;er	leger	10010
du;al;ly	dually	101010
bon;a;ven;ture	bonaventure	10011001000
re;cruit;er	recruiter	101000010
beat;ing	beating	1000100
sub;struc;ture	substructure	100100001000
smug	smug	1000
bro;gan	brogan	100100
log;i;cal	logical	1001100
pyg;my	pygmy	10010
bru;tal;i;ty	brutality	100100110
pros;e;cut;ing	prosecuting	10001100100
cred;i;tor	creditor	10001100
in;hib;i;tor	inhibitor	101001100
prac;tic;ing	practicing	1000100100
con;gen;ial	congenial	100100100
en;cy;clo;pae;di;a	encyclopaedia	1010100100101
per;cen;tile	percentile	1001001000
pres;by;ter;y	presbytery	1000101001
pen;e;tra;tion	penetration	10011001000
teil	teil	1000
fil;mog;ra;phy	filmography	10010010100
re;sum;ing	resuming	10100100
non;stand;ard	nonstandard	10010000100
ruf;fled	ruffled	1001000
sand	sand	1000
vol;ta	volta	10010
gen;er;ate	generate	10010100
lev;eled	leveled	1001000
un;a;bridged	unabridged	1011000000
o;ver;ture	overture	11001000
se;lec;tive;ly	selectively	10100100010
ern	ern	100
ex;cur;sion	excursion	101001000
rink	rink	1000
e;ven;ly	evenly	110010
ap;pro;pri;a;tion	appropriation	1010010011000
bunk;er	bunker	100010
in;di;ci;a	indicia	1010101
re;ly;ing	relying	1010100
out;wards	outwards	10010000
con;fer;ring	conferring	1001001000
elec	elec	1000
a;bun;dant	abundant	11001000
soar	soar	1000
cel;e;brat;ing	celebrating	10011000100
met;a	meta	1001
su;cre	sucre	10100
batch	batch	10000
rar;est	rarest	100100
sketch;y	sketchy	1000001
ken;nel	kennel	100100
in;ap;pro;pri;ate	inappropriate	1010100100100
mod;u;lus	modulus	1001100
re;vers;i;ble	reversible	1010001100
de;hu;mid;i;fi;er	dehumidifier	101010011010
o;men	omen	1100
chal;leng;ing	challenging	10001000100
re;pro;duce	reproduce	101001000
lo;cal	local	10100
pro;fes;sion;al;ism	professionalism	100100100010100
au;tumn	autumn	101000
con;trib;u;tor	contributor	10010001100
fal;la;cy	fallacy	1001010
sol;i;dar;i;ty	solidarity	1001100110
tam;my	tammy	10010
bade	bade	1000
pig;gy	piggy	10010
stag;nant	stagnant	10001000
mox;ie	moxie	10010
his;to;ry	history	1001010
a;board	aboard	110000
ra;cial;ly	racially	10100010
chris;ten	christen	10000100
sta;tis;ti;cal	statistical	10010010100
concur;ren;cy	concurrency	10000010010
pard	pard	1000
vail	vail	1000
i;so;met;ric	isometric	110100100
brown;ie	brownie	1000010
im;plic;it;ly	implicitly	1010001010
pro;gramme	programme	100100000
mel;o;dra;ma	melodrama	100110010
fiche	fiche	10000
un;wit;ting;ly	unwittingly	10100100010
seed;ling	seedling	10001000
car;ri;on	carrion	1001010
flank	flank	10000
sub;ma;rin;er	submariner	1001010010
wat	wat	100
south;ern;most	southernmost	100001001000
black;bird	blackbird	100001000
neurol	neurol	100000
gems	gems	1000
aus;tere	austere	1001000
syn;chro;nize	synchronize	10010001000
roost;er	rooster	1000010
jam;ming	jamming	1001000
cau;li;flow;er	cauliflower	10010100010
as;sert;ed	asserted	10100010
hur;ri;cane	hurricane	100101000
per;son;nel	personnel	100100100
ret	ret	100
sleep;less	sleepless	100001000
quan;ta	quanta	100010
re;peat	repeat	101000
couch	couch	10000
phil;har;mon;ic	philharmonic	100010010010
fab;ri;ca;tion	fabrication	10010101000
weld	weld	1000
in;di;ces	indices	1010100
hon;es;ty	honesty	1001010
con;flu;ence	confluence	1001001000
grind;er	grinder	1000010
is;su;ance	issuance	10101000
un;hap;pi;ness	unhappiness	10100101000
zon;ing	zoning	100100
dis;ad;vant;age	disadvantage	100101000100
chg	chg	100
cab;i;net;ry	cabinetry	100110010
i;tem;ize	itemize	1100100
strobe	strobe	100000
com;mu;ni;cat;ing	communicating	1001010100100
re;as;sure	reassure	10101000
sim;i;lar;i;ty	similarity	1001100110
dis;crim;i;na;tion	discrimination	10010001101000
sock	sock	1000
play;wright	playwright	1000100000
de;ranged	deranged	10100000
rad;ish	radish	100100
rag;ged	ragged	100100
nance	nance	10000
af;ter;glow	afterglow	101001000
ac;cel;er;a;tor	accelerator	10100101100
re;writ;ten	rewritten	101000100
es;ter	ester	10100
stein	stein	10000
crew;neck	crewneck	10001000
am;bush	ambush	101000
im;po;tence	impotence	101010000
pe;dan;tic	pedantic	10100100
grat;i;fy;ing	gratifying	1000110100
boll	boll	1000
la;zi;ness	laziness	10101000
fer;ti;lis;er	fertiliser	1001010010
ca;sa	casa	1010
a;dored	adored	110000
mir;ror	mirror	100100
god;damn	goddamn	1001000
coal	coal	1000
skil;ful	skilful	1000100
pref;er;a;bly	preferably	1000101100
sweep;ing	sweeping	10000100
sup;plant	supplant	10010000
auc;tion;eer	auctioneer	1001000100
ep;i;de;mi;ol;o;gy	epidemiology	101101010110
skim;ming	skimming	10001000
im;plan;ta;tion	implantation	101000101000
en;cour;ag;ing	encouraging	10100010100
con;tri;bu;tion	contribution	100100101000
dashed	dashed	100000
rap;id	rapid	10010
rap;per	rapper	100100
eas;i;er	easier	100110
ex;po;nen;tial	exponential	10101001000
co;hab;i;ta;tion	cohabitation	101001101000
con;scrip;tion	conscription	100100001000
turn;key	turnkey	1000100
trans;la;tor	translator	1000010100
chat;ter	chatter	1000100
whsle	whsle	10000
ef;fort;less;ly	effortlessly	101000100010
la;ser	laser	10100
chew;y	chewy	10001
myr;tle	myrtle	100100
a;i	ai	11
brain;y	brainy	100001
hope;less	hopeless	10001000
bathe	bathe	10000
caps	caps	1000
jol;ly	jolly	10010
spir;it;u;al;i;ty	spirituality	100010110110
co;her;ence	coherence	101001000
phos;pho;rous	phosphorous	10001001000
gav;el	gavel	10010
a;bi;ot;ic	abiotic	1101010
cap;si;cum	capsicum	10010100
ther;a;peu;tics	therapeutics	100011001000
out;dat;ed	outdated	10010010
spark	spark	10000
sub;sid;ence	subsidence	1001001000
in;ter;ga;lac;tic	intergalactic	1010010100100
nar;cis;sus	narcissus	100100100
fierce	fierce	100000
hap	hap	100
mer;chan;dis;er	merchandiser	100100010010
re;charg;ing	recharging	1010000100
wrong;ful;ly	wrongfully	1000010010
eye;lash	eyelash	1001000
sub;jec;tiv;i;ty	subjectivity	100100100110
bomb;er	bomber	100010
groan	groan	10000
sed;i;ment	sediment	10011000
su;per;con;duc;tiv;i;ty	superconductivity	10100100100100110
help;ful;ness	helpfulness	10001001000
pa;sha	pasha	10100
fed;er;al;ly	federally	100101010
kid	kid	100
reb;be	rebbe	10010
ad;i;a;bat;ic	adiabatic	101110010
ar;bi;trar;i;ly	arbitrarily	10101000110
fern	fern	1000
breech;es	breeches	10000010
garb	garb	1000
rat;tan	rattan	100100
un;der;side	underside	101001000
pub;lic;i;ty	publicity	100100110
crude	crude	10000
jake	jake	1000
tu;nic	tunic	10100
waste;land	wasteland	100001000
con;va;les;cent	convalescent	100101001000
por;cine	porcine	1001000
a;dop;tive	adoptive	11001000
hooked	hooked	100000
in;cu;ba;tion	incubation	1010101000
fare	fare	1000
e;lec;tro;phys;i;ol;o;gy	electrophysiology	11001001000110110
gel	gel	100
pol;li;na;tion	pollination	10010101000
mack;in;tosh	mackintosh	1000101000
mumps	mumps	10000
i;tem	item	1100
long	long	1000
tem;po;ral	temporal	10010100
dec;o;rat;ing	decorating	1001100100
de;ceased	deceased	10100000
ale	ale	100
con;di;tion;al	conditional	10010100010
gas;ket	gasket	100100
in;ci;sive	incisive	10101000
di;lat;ed	dilated	1010010
sub;vert	subvert	1001000
quin;tet	quintet	1000100
sub;sist;ence	subsistence	10010001000
eu;chre	euchre	101000
u;bi	ubi	110
spokes;man	spokesman	100000100
re;cruit	recruit	1010000
trust;ing	trusting	10000100
dis;o;be;di;ence	disobedience	100110101000
fore;cast;er	forecaster	1000100010
man;na	manna	10010
cat;a;ma;ran	catamaran	100110100
dump	dump	1000
ut;ter	utter	10100
him	him	100
fis;sion	fission	1001000
con;curred	concurred	100100000
shit;ting	shitting	10001000
soft;ness	softness	10001000
ac;ti;vate	activate	10101000
drift	drift	10000
edge	edge	1000
sto;ry;book	storybook	100101000
e;con;o;mist	economist	110011000
log;a;rith;mic	logarithmic	10011000100
ge;og;ra;phy	geography	101010100
au;dit	audit	10100
read;a;ble	readable	10001100
cas;sie	cassie	100100
crush;er	crusher	1000010
con;cil;i;a;tion	conciliation	100100111000
as;tro;nom;i;cal	astronomical	101001001100
bow;ser	bowser	100100
py;ro;tech;nics	pyrotechnics	101010001000
mile;age	mileage	1000100
co;da	coda	1010
tan;to	tanto	10010
o;ver;seen	overseen	11001000
leop;ard	leopard	1000100
or;ches;tral	orchestral	1010001000
es;ca;la;tor	escalator	101010100
an;ti;quar;i;an	antiquarian	10101000110
tan;ta;mount	tantamount	1001010000
hu;man;ism	humanism	10100100
con;tra;dict	contradict	1001001000
shin;ing	shining	1000100
lin;er	liner	10010
de;lib;er;ate;ly	deliberately	101001010010
des	des	100
lim;er;ick	limerick	10010100
rice	rice	1000
ac;quire	acquire	1010000
de;fin;a;ble	definable	101001100
jack	jack	1000
cup	cup	100
subj	subj	1000
pro;found	profound	10010000
hosp	hosp	1000
dee	dee	100
groin	groin	10000
e;voc;a;tive	evocative	110011000
mind;ful;ness	mindfulness	10001001000
put	put	100
beat;er	beater	100010
heap	heap	1000
o;ver;board	overboard	110010000
nom;i;nat;ing	nominating	1001100100
hi;jack	hijack	101000
ra;di;o;ac;tiv;i;ty	radioactivity	1010110100110
vol;ley;ball	volleyball	1001001000
had;ron	hadron	100100
per;mis;sive	permissive	1001001000
pre;req;ui;site	prerequisite	100100101000
com;bus;ti;ble	combustible	10010010100
so;lic;it	solicit	1010010
lime;light	limelight	100010000
lap;is	lapis	10010
skim	skim	1000
pud;ding	pudding	1001000
learn;er	learner	1000010
can;cer;ous	cancerous	100100100
as;sis;tant	assistant	101001000
chit	chit	1000
re;press	repress	1010000
i;dem	idem	1100
ar;chae;o;log;i;cal	archaeological	10100011001100
prep	prep	1000
lus;tre	lustre	100100
caf;feine	caffeine	10010000
mu;ta;tion	mutation	10101000
pup	pup	100
bal;bo;a	balboa	100101
can;non	cannon	100100
quar;ter	quarter	1000100
in;cin;er;a;tion	incineration	101001011000
lech	lech	1000
lanc;er	lancer	100010
tac;tile	tactile	1001000
re;in;car;na;tion	reincarnation	1010100101000
re;cal;cu;lat;ed	recalculated	101001010010
de;fault	default	1010000
sump;tu;ous	sumptuous	100010100
bo;li;via;no	boliviano	101010010
wack;y	wacky	10001
in;cli;na;tion	inclination	10100101000
mitt	mitt	1000
out;growth	outgrowth	100100000
em;i;nence	eminence	10110000
hurl;ey	hurley	100010
o;ver;rid;ing	overriding	1100100100
hot;line	hotline	1001000
ob;lig;a;to;ry	obligatory	1010011010
choc;taw	choctaw	1000100
chill	chill	10000
chalk;board	chalkboard	1000010000
hy;drol;y;sis	hydrolysis	1010001100
bar;bell	barbell	1001000
gran;u;lar;i;ty	granularity	10001100110
chas;ing	chasing	1000100
a;maze;ment	amazement	110001000
trem;o;lo	tremolo	1000110
mar;ca;site	marcasite	100101000
oct	oct	100
a;bol;ish	abolish	1100100
seek;ing	seeking	1000100
gip	gip	100
hog	hog	100
fin;ish	finish	100100
rain	rain	1000
up;hill	uphill	101000
bad	bad	100
re;deem;er	redeemer	10100010
can;celled	cancelled	100100000
a;tri;um	atrium	110010
stew;ard	steward	1000100
in;ert	inert	10100
ex;it	exit	1010
prat;er	prater	100010
bat;ted	batted	100100
snob	snob	1000
haste	haste	10000
un;found;ed	unfounded	101000010
pe;tite	petite	101000
ac;quit;ted	acquitted	101000100
en;er;giz;er	energizer	101010010
phos;pho;rus	phosphorus	1000100100
shad	shad	1000
bol;ster	bolster	1001000
no;to;ri;ous;ly	notoriously	10101010010
hec;tor	hector	100100
mi;mo;sa	mimosa	101010
un;wor;thy	unworthy	10100100
m;l	ml	11
ex;cel;len;cy	excellency	1010010010
of;fic;er	officer	1010010
re;tir;ee	retiree	1010010
rec;og;nis;ing	recognising	10010100100
cramp	cramp	10000
versed	versed	100000
con;nec;tive	connective	1001001000
hy;giene	hygiene	1010000
leech	leech	10000
wob;bly	wobbly	100100
mo;noc;u;lar	monocular	101001100
sub;fam;i;ly	subfamily	100100110
del;e;gat;ing	delegating	1001100100
sa;lin;a	salina	101001
pro;ceed;ing	proceeding	1001000100
re;in;stall	reinstall	101010000
el;e;vat;ed	elevated	10110010
un;o;pened	unopened	10110000
rain;for;est	rainforest	1000100100
ob;e;lisk	obelisk	1011000
loop	loop	1000
chap	chap	1000
e;ra	era	110
cov;ert	covert	100100
must	must	1000
piz;ze;ri;a	pizzeria	10010101
shim;mer	shimmer	1000100
earth	earth	10000
soar;ing	soaring	1000100
re;lay	relay	10100
en;do;me;tri;al	endometrial	10101010010
re;set;tle;ment	resettlement	101001001000
per;so;na	persona	1001010
mo;nas;tic	monastic	10100100
a;long	along	11000
ar;cha;ic	archaic	1010010
ap;pre;ci;a;tion	appreciation	101001011000
syph;i;lis	syphilis	10001100
kiss	kiss	1000
class;mate	classmate	100001000
la;ta	lata	1010
e;ta	eta	110
man;grove	mangrove	10010000
pa;ri;ah	pariah	101010
an;gry	angry	10100
en;vi;a;ble	enviable	10101100
hunt	hunt	1000
vol;can;ic	volcanic	10010010
flue	flue	1000
dress;ings	dressings	100001000
com;men;tar;y	commentary	1001001001
vol	vol	100
peace;mak;er	peacemaker	1000010010
down;stairs	downstairs	1000100000
two;fold	twofold	1001000
bai	bai	100
i;ron;ic	ironic	110010
mil;li;gram	milligram	100101000
gid	gid	100
fif;ty	fifty	10010
med;al;ist	medalist	10010100
vis	vis	100
un;brand;ed	unbranded	101000010
at;oll	atoll	10100
