syllabified	notSyllabified	numeric
a;loof	aloof	11000
a;loud	aloud	11000
a;lu;mi;na	alumina	1101010
a;lu;mi;num	aluminum	11010100
a;lum;nus	alumnus	1100100
a;mal;gam	amalgam	1100100
a;mal;gam;a;tion	amalgamation	110010011000
a;mal;gam;at;ed	amalgamated	11001001010
a;maz;ing	amazing	1100100
a;maz;ing;ly	amazingly	110010010
a;maze	amaze	11000
a;maze;ment	amazement	110001000
a;mazed	amazed	110000
a;me;na;ble	amenable	11010100
a;men	amen	1100
a;men;i;ty	amenity	1100110
a;mend	amend	11000
a;mend;ment	amendment	110001000
a;mends	amends	110000
a;mi	ami	110
a;mi;a;ble	amiable	1101100
a;mi;ga	amiga	11010
a;mi;go	amigo	11010
a;mi;no	amino	11010
a;mid	amid	1100
a;midst	amidst	110000
a;mie	amie	1100
a;mine	amine	11000
a;mir	amir	1100
a;mis	amis	1100
a;miss	amiss	11000
a;moe;ba	amoeba	110010
a;mok	amok	1100
a;mong	among	11000
a;mongst	amongst	1100000
a;mor;phous	amorphous	110010000
a;mount	amount	110000
a;mour	amour	11000
a;mus;ing	amusing	1100100
a;muse	amuse	11000
a;muse;ment	amusement	110001000
a;mused	amused	110000
a;myg;da;la	amygdala	11001010
a;nae;mi;a	anaemia	1100101
a;nal;o;gous	analogous	110011000
a;nal;o;gy	analogy	1100110
a;nal;y;sis	analysis	11001100
a;nan;da	ananda	110010
a;nat;o;my	anatomy	1100110
a;nath;e;ma	anathema	11000110
a;ne;mi;a	anemia	110101
a;nem;o;ne	anemone	1100110
a;new	anew	1100
a;ni	ani	110
a;nom;a;lous	anomalous	110011000
a;nom;a;ly	anomaly	1100110
a;non;y;mous	anonymous	110011000
a;non;y;mous;ly	anonymously	11001100010
a;nus	anus	1100
a;or;ta	aorta	11010
a;or;tic	aortic	110100
a;pa	apa	110
a;pache	apache	110000
a;part	apart	11000
a;part;heid	apartheid	110001000
a;part;ment	apartment	110001000
a;pex	apex	1100
a;pha;sia	aphasia	1100100
a;phid	aphid	11000
a;phis	aphis	11000
a;piece	apiece	110000
a;poc;a;lyp;tic	apocalyptic	11001100100
a;poc;a;lypse	apocalypse	1100110000
a;pol;lo	apollo	110010
a;pol;o;get;ic	apologetic	1100110010
a;pol;o;get;ics	apologetics	11001100100
a;pol;o;gise	apologise	110011000
a;pol;o;gize	apologize	110011000
a;pol;o;gized	apologized	1100110000
a;pol;o;gy	apology	1100110
a;pos;tle	apostle	1100100
a;pos;tro;phe	apostrophe	1100100100
a;poth;e;car;y	apothecary	1100011001
a;pr	apr	110
a;pron	apron	11000
a;quar;i;um	aquarium	11000110
a;quar;i;ums	aquariums	110001100
a;quat;ic	aquatic	1100010
a;quat;ics	aquatics	11000100
a;que;ous	aqueous	1100100
a;r	ar	11
a;re;na	arena	11010
a;ri;a	aria	1101
a;ris;en	arisen	110010
a;ris;ta	arista	110010
a;ris;to;crat	aristocrat	1100101000
a;ris;to;crat;ic	aristocratic	110010100010
a;rise	arise	11000
a;rith;me;tic	arithmetic	1100010100
a;ro;ma	aroma	11010
a;rose	arose	11000
a;round	around	110000
a;rous;al	arousal	1100010
a;rouse	arouse	110000
a;roused	aroused	1100000
a;sep;tic	aseptic	1100100
a;shamed	ashamed	1100000
a;shore	ashore	110000
a;side	aside	11000
a;skew	askew	11000
a;sleep	asleep	110000
a;spher;i;cal	aspherical	1100001100
a;stig;ma;tism	astigmatism	11000101000
a;strag;a;lus	astragalus	1100001100
a;stray	astray	110000
a;sy;lum	asylum	110100
a;sym;me;try	asymmetry	110010100
a;sym;met;ri;cal	asymmetrical	110010010100
a;sym;met;ric	asymmetric	1100100100
a;symp;to;mat;ic	asymptomatic	110001010010
a;syn;chro;nous	asynchronous	110010001000
a;tax;i;a	ataxia	110011
a;the;ism	atheism	1100100
a;the;ist	atheist	1100100
a;tom;ic	atomic	110010
a;tone;ment	atonement	110001000
a;top	atop	1100
a;tri;a	atria	11001
a;tri;al	atrial	110010
a;tri;um	atrium	110010
a;tro;cious	atrocious	110010000
a;troc;i;ty	atrocity	11000110
a;typ;i;cal	atypical	11001100
a;va	ava	110
a;vail	avail	11000
a;vail;a;bil;i;ty	availability	110001100110
a;vail;a;ble	available	110001100
a;vast	avast	11000
a;veng;er	avenger	1100010
a;venge	avenge	110000
a;venged	avenged	1100000
a;ver	aver	1100
a;ver;sion	aversion	11001000
a;verse	averse	110000
a;vert	avert	11000
a;vi;a;tion	aviation	11011000
a;vi;a;tor	aviator	1101100
a;vi;an	avian	11010
a;vi;on;ics	avionics	11010100
a;vi;so	aviso	11010
a;viar;y	aviary	110001
a;vion	avion	11000
a;vo	avo	110
a;void	avoid	11000
a;void;a;ble	avoidable	110001100
a;void;ance	avoidance	110001000
a;wa	awa	110
a;wait	await	11000
a;wak;en	awaken	110010
a;wak;en;ing	awakening	110010100
a;wake	awake	11000
a;ward	award	11000
a;ware	aware	11000
a;ware;ness	awareness	110001000
a;wash	awash	11000
a;way	away	1100
a;while	awhile	110000
a;woke	awoke	11000
a;wry	awry	1100
a;zal;ea	azalea	110010
aard;vark	aardvark	10001000
ab;a	aba	101
ab;a;cus	abacus	101100
ab;a;lo;ne	abalone	1011010
ab;ba	abba	1010
ab;bey	abbey	10100
ab;bot	abbot	10100
ab;bre;vi;a;tion	abbreviation	101001011000
ab;bre;vi;at;ed	abbreviated	10100101010
ab;do;men	abdomen	1010100
ab;dom;i;nal	abdominal	101001100
ab;duc;tion	abduction	101001000
ab;er;ra;tion	aberration	1010101000
ab;er;rant	aberrant	10101000
ab;i;gail	abigail	1011000
ab;ject	abject	101000
ab;la;tion	ablation	10101000
ab;nor;mal	abnormal	10100100
ab;nor;mal;i;ty	abnormality	10100100110
ab;nor;mal;ly	abnormally	1010010010
ab;o	abo	101
ab;o;li;tion	abolition	101101000
ab;o;rig;i;nal	aboriginal	1011001100
ab;rupt	abrupt	101000
ab;rupt;ly	abruptly	10100010
ab;scess	abscess	1010000
ab;sen;tee	absentee	10100100
ab;sen;tee;ism	absenteeism	10100100100
ab;sence	absence	1010000
ab;sent	absent	101000
ab;sinthe	absinthe	10100000
ab;so;lu;tion	absolution	1010101000
ab;so;lute	absolute	10101000
ab;so;lute;ly	absolutely	1010100010
ab;sorb	absorb	101000
ab;sorb;ance	absorbance	1010001000
ab;sorb;ent	absorbent	101000100
ab;sorb;er	absorber	10100010
ab;sorb;ing	absorbing	101000100
ab;sorbed	absorbed	10100000
ab;sorp;tion	absorption	1010001000
ab;stain	abstain	1010000
ab;sti;nence	abstinence	1010010000
ab;strac;tion	abstraction	10100001000
ab;stract	abstract	10100000
ab;stract;ed	abstracted	1010000010
ab;surd	absurd	101000
ab;surd;i;ty	absurdity	101000110
abb	abb	100
abl	abl	100
abp	abp	100
abr	abr	100
ac;a;dem;i;a	academia	10110011
ac;a;dem;i;cal;ly	academically	101100110010
ac;a;dem;ic	academic	10110010
ac;a;deme	academe	1011000
ac;cel;er;a;tion	acceleration	101001011000
ac;cel;er;a;tor	accelerator	10100101100
ac;cel;er;at;ed	accelerated	10100101010
ac;cel;er;at;ing	accelerating	101001010100
ac;cel;er;ate	accelerate	1010010100
ac;cel;er;om;e;ter	accelerometer	1010010101100
ac;cen;tu;ate	accentuate	1010010100
ac;cent	accent	101000
ac;cep;tor	acceptor	10100100
ac;cept	accept	101000
ac;cept;a;bil;i;ty	acceptability	1010001100110
ac;cept;a;ble	acceptable	1010001100
ac;cept;ance	acceptance	1010001000
ac;cept;ed	accepted	10100010
ac;ces;si;bil;i;ty	accessibility	1010010100110
ac;ces;si;ble	accessible	1010010100
ac;ces;sion	accession	101001000
ac;ces;so;ry	accessory	101001010
ac;cess	access	101000
ac;ci;den;tal	accidental	1010100100
ac;ci;den;tal;ly	accidentally	101010010010
ac;ci;dent	accident	10101000
ac;claim	acclaim	1010000
ac;co;lade	accolade	10101000
ac;com;mo;da;tion	accommodation	1010010101000
ac;com;mo;dat;ed	accommodated	101001010010
ac;com;mo;dat;ing	accommodating	1010010100100
ac;com;mo;date	accommodate	10100101000
ac;com;pa;ni;ment	accompaniment	1010010101000
ac;com;pa;nied	accompanied	10100101000
ac;com;pa;ny	accompany	101001010
ac;com;pa;ny;ing	accompanying	101001010100
ac;com;plice	accomplice	1010010000
ac;com;plish	accomplish	1010010000
ac;com;plish;ment	accomplishment	10100100001000
ac;com;plished	accomplished	101001000000
ac;cor;di;on	accordion	101001010
ac;cord	accord	101000
ac;cord;ance	accordance	1010001000
ac;cord;ing	according	101000100
ac;cord;ing;ly	accordingly	10100010010
ac;count	account	1010000
ac;count;a;bil;i;ty	accountability	10100001100110
ac;count;a;ble	accountable	10100001100
ac;count;an;cy	accountancy	10100001010
ac;count;ant	accountant	1010000100
ac;count;ing	accounting	1010000100
ac;cra	accra	10100
ac;cre;tion	accretion	101001000
ac;cred;i;ta;tion	accreditation	1010001101000
ac;cru;al	accrual	1010010
ac;cru;ing	accruing	10100100
ac;crue	accrue	101000
ac;crued	accrued	1010000
ac;cu;mu;la;tion	accumulation	101010101000
ac;cu;mu;la;tor	accumulator	10101010100
ac;cu;mu;lat;ed	accumulated	10101010010
ac;cu;mu;lat;ing	accumulating	101010100100
ac;cu;mu;late	accumulate	1010101000
ac;cu;ra;cy	accuracy	10101010
ac;cu;rate	accurate	10101000
ac;cu;rate;ly	accurately	1010100010
ac;cu;sa;tion	accusation	1010101000
ac;cus;er	accuser	1010010
ac;cus;ing	accusing	10100100
ac;cus;tomed	accustomed	1010010000
ac;cuse	accuse	101000
ac;cused	accused	1010000
ac;e;tate	acetate	1011000
ac;e;tone	acetone	1011000
ac;e;tyl	acetyl	101100
ac;e;tyl;cho;line	acetylcholine	1011001001000
ac;i;do;sis	acidosis	10110100
ac;i;doph;i;lus	acidophilus	10110001100
ac;id	acid	1010
ac;knowl;edg;ing	acknowledging	1010000100100
ac;knowl;edg;ment	acknowledgment	10100001001000
ac;knowl;edge	acknowledge	10100001000
ac;knowl;edge;ment	acknowledgement	101000010001000
ac;knowl;edged	acknowledged	101000010000
ac;me	acme	1010
ac;ne	acne	1010
ac;quaint	acquaint	10100000
ac;quaint;ance	acquaintance	101000001000
ac;quaint;ed	acquainted	1010000010
ac;qui;si;tion	acquisition	10100101000
ac;quir;ing	acquiring	101000100
ac;quire	acquire	1010000
ac;quired	acquired	10100000
ac;quit;tal	acquittal	101000100
ac;quit;ted	acquitted	101000100
ac;ro;bat	acrobat	1010100
ac;ro;bat;ic	acrobatic	101010010
ac;ro;nym	acronym	1010100
ac;ti;va;tion	activation	1010101000
ac;ti;va;tor	activator	101010100
ac;ti;vat;ed	activated	101010010
ac;ti;vat;ing	activating	1010100100
ac;ti;vate	activate	10101000
ac;tin	actin	10100
ac;tion	action	101000
ac;tion;a;ble	actionable	1010001100
ac;tiv;i;ty	activity	10100110
ac;tiv;ism	activism	10100100
ac;tiv;ist	activist	10100100
ac;tive	active	101000
ac;tive;ly	actively	10100010
ac;ton	acton	10100
ac;tor	actor	10100
ac;tress	actress	1010000
ac;tu;a;tion	actuation	101011000
ac;tu;a;tor	actuator	10101100
ac;tu;al	actual	101010
ac;tu;al;i;ty	actuality	101010110
ac;tu;al;ly	actually	10101010
ac;tu;ar;i;al	actuarial	101010110
ac;tu;ar;ies	actuaries	101010100
ac;tu;ary	actuary	1010100
ac;tu;at;ed	actuated	10101010
ac;tu;ate	actuate	1010100
ac;u;men	acumen	101100
ac;u;punc;ture	acupuncture	10110001000
ac;yl	acyl	1010
ace	ace	100
ach;ing	aching	100100
ache	ache	1000
act	act	100
act;ing	acting	100100
ad;a;mant	adamant	1011000
ad;age	adage	10100
ad;ap;ta;tion	adaptation	1010101000
ad;den;dum	addendum	10100100
ad;di;tion	addition	10101000
ad;di;tion;al	additional	1010100010
ad;di;tion;al;ly	additionally	101010001010
ad;di;tive	additive	10101000
ad;dic;tion	addiction	101001000
ad;dic;tive	addictive	101001000
ad;dict	addict	101000
ad;dict;ed	addicted	10100010
ad;dress	address	1010000
ad;dress;ee	addressee	101000010
ad;dress;ing	addressing	1010000100
ad;dy	addy	1010
ad;e;nine	adenine	1011000
ad;e;no;car;ci;no;ma	adenocarcinoma	10110100101010
ad;e;no;ma	adenoma	1011010
ad;e;no;vi;rus	adenovirus	1011010100
ad;e;qua;cy	adequacy	10110010
ad;e;quate	adequate	10110000
ad;e;quate;ly	adequately	1011000010
ad;ept	adept	10100
ad;he;sion	adhesion	10101000
ad;he;sive	adhesive	10101000
ad;her;ence	adherence	101001000
ad;her;ent	adherent	10100100
ad;her;ing	adhering	10100100
ad;here	adhere	101000
ad;hered	adhered	1010000
ad;i;a;bat;ic	adiabatic	101110010
ad;i;os	adios	10110
ad;i;pose	adipose	1011000
ad;ja;cen;cy	adjacency	101010010
ad;ja;cent	adjacent	10101000
ad;jec;tive	adjective	101001000
ad;join;ing	adjoining	101000100
ad;joint	adjoint	1010000
ad;journ	adjourn	1010000
ad;journ;ment	adjournment	10100001000
ad;ju;di;ca;tion	adjudication	101010101000
ad;ju;di;ca;tor	adjudicator	10101010100
ad;ju;di;cat;ed	adjudicated	10101010010
ad;ju;tant	adjutant	10101000
ad;ju;vant	adjuvant	10101000
ad;junct	adjunct	1010000
ad;just	adjust	101000
ad;just;a;ble	adjustable	1010001100
ad;just;er	adjuster	10100010
ad;just;ment	adjustment	1010001000
ad;mi;ra;ble	admirable	101010100
ad;mi;ra;bly	admirably	101010100
ad;mi;ra;tion	admiration	1010101000
ad;mi;ral	admiral	1010100
ad;mi;ral;ty	admiralty	101010010
ad;min	admin	10100
ad;min;is;ter	administer	1010010100
ad;min;is;tra;tion	administration	10100101001000
ad;min;is;tra;tive	administrative	10100101001000
ad;min;is;tra;tive;ly	administratively	1010010100100010
ad;min;is;tra;tor	administrator	1010010100100
ad;mir;er	admirer	1010010
ad;mir;ing	admiring	10100100
ad;mire	admire	101000
ad;mired	admired	1010000
ad;mis;si;bil;i;ty	admissibility	1010010100110
ad;mis;si;ble	admissible	1010010100
ad;mis;sion	admission	101001000
ad;mit	admit	10100
ad;mit;tance	admittance	1010010000
ad;mit;ted	admitted	10100100
ad;mit;ted;ly	admittedly	1010010010
ad;mit;ting	admitting	101001000
ad;mix;ture	admixture	101001000
ad;mo;ni;tion	admonition	1010101000
ad;o;les;cence	adolescence	10110010000
ad;o;les;cent	adolescent	1011001000
ad;o;ra;tion	adoration	101101000
ad;re;nal	adrenal	1010100
ad;ren;er;gic	adrenergic	1010010100
ad;sorp;tion	adsorption	1010001000
ad;van;ta;geous	advantageous	101001010000
ad;van;tage	advantage	101001000
ad;vanc;es	advances	10100010
ad;vanc;ing	advancing	101000100
ad;vance	advance	1010000
ad;vance;ment	advancement	10100001000
ad;vanced	advanced	10100000
ad;vec;tion	advection	101001000
ad;ven;tur;er	adventurer	1010010010
ad;ven;tur;ous	adventurous	10100100100
ad;ven;ture	adventure	101001000
ad;vent	advent	101000
ad;ver;sar;ies	adversaries	10100100100
ad;ver;sar;y	adversary	101001001
ad;ver;si;ty	adversity	101001010
ad;ver;tis;er	advertiser	1010010010
ad;ver;tis;ing	advertising	10100100100
ad;ver;tise	advertise	101001000
ad;ver;tise;ment	advertisement	1010010001000
ad;ver;tised	advertised	1010010000
ad;verb	adverb	101000
ad;verse	adverse	1010000
ad;verse;ly	adversely	101000010
ad;vert	advert	101000
ad;vi;so;ry	advisory	10101010
ad;vi;sor	advisor	1010100
ad;vice	advice	101000
ad;vis;a;ble	advisable	101001100
ad;vis;er	adviser	1010010
ad;vise	advise	101000
ad;vise;ment	advisement	1010001000
ad;vised	advised	1010000
ad;vo;ca;cy	advocacy	10101010
ad;vo;cat;ed	advocated	101010010
ad;vo;cat;ing	advocating	1010100100
ad;vo;cate	advocate	10101000
add	add	100
add;er	adder	10010
adj	adj	100
adv	adv	100
ae;gis	aegis	10100
ae;on	aeon	1010
aer;a;tion	aeration	10011000
aer;i;al	aerial	100110
aer;o	aero	1001
aer;o;bic	aerobic	1001100
aer;o;drome	aerodrome	100110000
aer;o;dy;nam;ic	aerodynamic	10011010010
aer;o;dy;nam;ics	aerodynamics	100110100100
aer;o;nau;ti;cal	aeronautical	100110010100
aer;o;naut;ics	aeronautics	10011000100
aer;o;plane	aeroplane	100110000
aer;o;sol	aerosol	1001100
aer;o;space	aerospace	100110000
aes;thet;i;cal;ly	aesthetically	1001000110010
aes;thet;ic	aesthetic	100100010
aes;thet;ics	aesthetics	1001000100
aet	aet	100
af;fair	affair	101000
af;fairs	affairs	1010000
af;fec;tion	affection	101001000
af;fec;tion;ate	affectionate	101001000100
af;fec;tion;ate;ly	affectionately	10100100010010
af;fec;tive	affective	101001000
af;fect	affect	101000
af;fect;ed	affected	10100010
af;fect;ing	affecting	101000100
af;fer;ent	afferent	10100100
af;fi;da;vit	affidavit	101010100
af;fil;i;a;tion	affiliation	10100111000
af;fil;i;at;ed	affiliated	1010011010
af;fil;i;ate	affiliate	101001100
af;fin;i;ty	affinity	10100110
af;fine	affine	101000
af;fir;ma;tion	affirmation	10100101000
af;firm	affirm	101000
af;firm;a;tive	affirmative	10100011000
af;firm;a;tive;ly	affirmatively	1010001100010
af;fix	affix	10100
af;flic;tion	affliction	1010001000
af;flu;ence	affluence	101001000
af;flu;ent	affluent	10100100
af;ford	afford	101000
af;ford;a;ble	affordable	1010001100
af;ghan	afghan	101000
af;ghan;i	afghani	1010001
af;ter	after	10100
af;ter;care	aftercare	101001000
af;ter;glow	afterglow	101001000
af;ter;life	afterlife	101001000
af;ter;math	aftermath	101001000
af;ter;noon	afternoon	101001000
af;ter;noons	afternoons	1010010000
af;ter;shock	aftershock	1010010000
af;ter;thought	afterthought	101001000000
af;ter;ward	afterward	101001000
af;ter;wards	afterwards	1010010000
aff	aff	100
aft	aft	100
ag;ate	agate	10100
ag;gie	aggie	10100
ag;glom;er;a;tion	agglomeration	1010001011000
ag;gra;va;tion	aggravation	10100101000
ag;gra;vat;ing	aggravating	10100100100
ag;gra;vate	aggravate	101001000
ag;gra;vated	aggravated	1010010000
ag;gre;ga;tion	aggregation	10100101000
ag;gre;gat;ed	aggregated	1010010010
ag;gre;gat;ing	aggregating	10100100100
ag;gre;gate	aggregate	101001000
ag;gres;sion	aggression	1010001000
ag;gres;sive	aggressive	1010001000
ag;gres;sive;ly	aggressively	101000100010
ag;gres;sive;ness	aggressiveness	10100010001000
ag;gres;sor	aggressor	101000100
ag;grieved	aggrieved	101000000
ag;i;ta;tion	agitation	101101000
ag;i;ta;tor	agitator	10110100
ag;i;tat;ed	agitated	10110010
ag;ile	agile	10100
ag;ing	aging	10100
ag;nos;tic	agnostic	10100100
ag;o;nist	agonist	1011000
ag;o;niz;ing	agonizing	101100100
ag;o;ny	agony	10110
ag;o;ra	agora	10110
ag;ri;busi;ness	agribusiness	101010001000
ag;ri;cul;tur;al	agricultural	101010010010
ag;ri;cul;ture	agriculture	10101001000
ag;ro;nom;ic	agronomic	101010010
age	age	100
age;ing	ageing	100100
age;less	ageless	1001000
agr	agr	100
agric	agric	10000
agt	agt	100
ai;kid;o	aikido	101001
aid	aid	100
aide	aide	1000
ail	ail	100
ail;ing	ailing	100100
ail;ment	ailment	1001000
aim	aim	100
ain	ain	100
air	air	100
air;borne	airborne	10010000
air;brush	airbrush	10010000
air;bus	airbus	100100
air;craft	aircraft	10010000
air;field	airfield	10010000
air;flow	airflow	1001000
air;frame	airframe	10010000
air;ing	airing	100100
air;lift	airlift	1001000
air;lin;er	airliner	10010010
air;line	airline	1001000
air;lines	airlines	10010000
air;mail	airmail	1001000
air;man	airman	100100
air;plane	airplane	10010000
air;port	airport	1001000
air;ship	airship	1001000
air;space	airspace	10010000
air;strip	airstrip	10010000
air;tight	airtight	10010000
air;waves	airwaves	10010000
air;way	airway	100100
air;wor;thi;ness	airworthiness	1001001001000
air;y	airy	1001
airs	airs	1000
aisle	aisle	10000
ait	ait	100
ake	ake	100
al;a;bas;ter	alabaster	101100100
al;a;me;da	alameda	1011010
al;a;mo	alamo	10110
al;a;nine	alanine	1011000
al;ba	alba	1010
al;ba;tross	albatross	101010000
al;be;do	albedo	101010
al;be;it	albeit	101010
al;ber;go	albergo	1010010
al;bert	albert	101000
al;bi;no	albino	101010
al;bu;min	albumin	1010100
al;bum	album	10100
al;che;mist	alchemist	101001000
al;che;my	alchemy	1010010
al;co;hol	alcohol	1010100
al;co;hol;ic	alcoholic	101010010
al;co;hol;ism	alcoholism	1010100100
al;cove	alcove	101000
al;de;hyde	aldehyde	10101000
al;der	alder	10100
al;der;man	alderman	10100100
al;ec	alec	1010
al;ex;an;der	alexander	101010100
al;ex;an;drite	alexandrite	10101010000
al;fal;fa	alfalfa	1010010
al;gae	algae	10100
al;gal	algal	10100
al;ge;bra	algebra	1010100
al;ge;bra;ic	algebraic	101010010
al;go;rith;mic	algorithmic	10101000100
al;go;rithm	algorithm	101010000
al;i;bi	alibi	10110
al;i;mo;ny	alimony	1011010
al;i;phat;ic	aliphatic	101100010
al;ien	alien	10100
al;ien;a;tion	alienation	1010011000
al;ien;at;ed	alienated	101001010
al;ien;at;ing	alienating	1010010100
al;ien;ate	alienate	10100100
al;ka;li	alkali	101010
al;ka;lin;i;ty	alkalinity	1010100110
al;ka;line	alkaline	10101000
al;kyl	alkyl	10100
al;le;ga;tion	allegation	1010101000
al;le;giance	allegiance	1010100000
al;le;go;ry	allegory	10101010
al;le;gro	allegro	1010100
al;le;vi;a;tion	alleviation	10101011000
al;le;vi;at;ing	alleviating	10101010100
al;le;vi;ate	alleviate	101010100
al;leg;ed;ly	allegedly	101001010
al;leg;ing	alleging	10100100
al;lege	allege	101000
al;leged	alleged	1010000
al;lel;ic	allelic	1010010
al;lele	allele	101000
al;ler;gen	allergen	10100100
al;ler;gen;ic	allergenic	1010010010
al;ler;gic	allergic	10100100
al;ler;gy	allergy	1010010
al;ley	alley	10100
al;li;ance	alliance	10101000
al;li;ga;tor	alligator	101010100
al;li;um	allium	101010
al;lied	allied	101000
al;lies	allies	101000
al;lo;ca;tion	allocation	1010101000
al;lo;cat;ed	allocated	101010010
al;lo;cat;ing	allocating	1010100100
al;lo;cate	allocate	10101000
al;lot	allot	10100
al;lot;ment	allotment	101001000
al;lot;ted	allotted	10100100
al;low	allow	10100
al;low;a;ble	allowable	101001100
al;low;ance	allowance	101001000
al;lowed	allowed	1010000
al;loy	alloy	10100
al;lu;sion	allusion	10101000
al;lu;vi;al	alluvial	10101010
al;lud;ed	alluded	1010010
al;lur;ing	alluring	10100100
al;lure	allure	101000
al;ly	ally	1010
al;ma	alma	1010
al;ma;nac	almanac	1010100
al;might;y	almighty	10100001
al;mond	almond	101000
al;most	almost	101000
al;o;pe;ci;a	alopecia	10110101
al;oe	aloe	1010
al;pac;a	alpaca	101001
al;pha	alpha	10100
al;pha;bet	alphabet	10100100
al;pha;bet;i;cal	alphabetical	101001001100
al;pha;bet;i;cal;ly	alphabetically	10100100110010
al;pha;bet;ic	alphabetic	1010010010
al;pine	alpine	101000
al;read;y	already	1010001
al;right	alright	1010000
al;so	also	1010
al;tar	altar	10100
al;ter	alter	10100
al;ter;a;tion	alteration	1010011000
al;ter;ca;tion	altercation	10100101000
al;ter;na;tion	alternation	10100101000
al;ter;na;tive	alternative	10100101000
al;ter;na;tive;ly	alternatively	1010010100010
al;ter;na;tor	alternator	1010010100
al;ter;nat;ing	alternating	10100100100
al;ter;nate	alternate	101001000
al;ter;nate;ly	alternately	10100100010
al;though	although	10100000
al;ti;tude	altitude	10101000
al;tim;e;ter	altimeter	101001100
al;to	alto	1010
