	Unnamed: 0	item	gold	gru	elman	earlyBoundary	lateBoundary	missedBoundary	addedBoundary	totalErrors
26	78	endemic	e/1 n/0 d/0 e/0 m/0 i/0 c/0	/1 n/0 D/1 e/0 m/0 I/1 c/0	/1 n/0 D/1 e/0 m/0 I/1 c/0	0	0	0	2	2
27	85	messy	m/1 e/0 s/0 s/0 y/1	m/1 e/0 s/0 S/1 y/1	m/1 e/0 s/0 S/1 y/1	0	0	0	1	1
28	87	snorkel	s/1 n/0 o/0 r/0 k/1 e/0 l/0	s/1 n/0 o/0 r/0 K/0 E/1 l/0	s/1 n/0 o/0 r/0 K/0 E/1 l/0	0	1	0	0	1
29	89	yez	/1 y/1 e/0 z/0	o/1 Y/0 e/0 z/0	o/1 Y/0 e/0 z/0	1	0	0	0	1
30	101	panache	p/1 a/0 n/1 a/0 c/0 h/0 e/0	p/1 a/0 N/0 A/1 c/0 h/0 e/0	p/1 a/0 N/0 A/1 c/0 h/0 e/0	0	1	0	0	1
31	104	fulfilling	f/1 u/0 l/0 f/1 i/0 l/0 l/1 i/0 n/0 g/0	f/1 u/0 l/0 f/1 i/0 l/0 L/0 I/1 n/0 g/0	f/1 u/0 l/0 f/1 i/0 l/0 L/0 I/1 n/0 g/0	0	1	0	0	1
32	111	jell	j/1 e/0 l/0 l/0 o/1	j/1 e/0 l/0 L/1 O/0	j/1 e/0 l/0 L/1 O/0	1	0	0	0	1
33	122	ughty	/1 o/0 u/0 g/0 h/0 t/1 y/0	/1 o/0 u/0 g/0 h/0 T/0 Y/1	/1 o/0 u/0 g/0 h/0 T/0 Y/1	0	1	0	0	1
34	131	scenic	s/1 c/0 e/0 n/1 i/0 c/0	s/1 c/0 e/0 N/0 I/1 c/0	s/1 c/0 e/0 N/0 I/1 c/0	0	1	0	0	1
35	132	carte	c/1 a/0 r/0 t/0 e/1 r/0	c/1 a/0 r/0 T/1 E/0 r/0	c/1 a/0 r/0 T/1 E/0 r/0	1	0	0	0	1
36	135	courtroom	c/1 o/0 u/0 r/0 t/0 r/1 o/0 o/0 m/0	c/1 o/0 u/0 r/0 T/1 R/0 o/0 o/0 m/0	c/1 o/0 u/0 r/0 T/1 R/0 o/0 o/0 m/0	1	0	0	0	1
37	139	cliche	c/1 l/0 i/0 c/1 h/0 e/0	c/1 l/0 i/0 C/0 h/0 e/0	c/1 l/0 i/0 C/0 h/0 e/0	0	0	1	0	1
38	155	a	a/1 r/1	a/1 R/0	a/1 R/0	1	0	0	0	1
39	158	palazz	p/1 a/0 l/1 a/0 z/0 z/1 o/0	p/1 a/0 L/0 A/1 z/0 z/1 o/0	p/1 a/0 L/0 A/1 z/0 z/1 o/0	0	1	0	0	1
40	162	histamine	h/1 i/0 s/0 t/1 a/0 m/1 i/0 n/0 e/0	h/1 i/0 s/0 t/1 a/0 M/0 I/1 n/0 e/0	h/1 i/0 s/0 t/1 a/0 M/0 I/1 n/0 e/0	0	1	0	0	1
41	171	ental	r/1 e/0 n/0 t/0 a/1 l/0	/1 e/0 n/0 T/1 A/0 l/0	/1 e/0 n/0 T/1 A/0 l/0	1	0	0	0	1
42	175	bailey	b/1 a/0 i/0 l/1 e/0 y/0	b/1 a/0 i/0 L/0 E/1 y/0	b/1 a/0 i/0 L/0 E/1 y/0	0	1	0	0	1
43	188	ende	r/1 e/0 n/0 d/0 e/1 r/0	/1 e/0 n/0 D/1 E/0 r/0	/1 e/0 n/0 D/1 E/0 r/0	1	0	0	0	1
44	201	ente	r/1 e/0 n/0 t/0 e/1 r/0	/1 e/0 n/0 T/1 E/0 r/0	/1 e/0 n/0 T/1 E/0 r/0	1	0	0	0	1
45	210	paleontology	p/1 a/0 l/1 e/0 o/1 n/0 t/1 o/0 l/0 o/1 g/1 y/0	p/1 a/0 L/0 E/1 o/1 n/0 t/1 o/0 l/0 o/1 g/1 y/0	p/1 a/0 L/0 E/1 o/1 n/0 t/1 o/0 l/0 o/1 g/1 y/0	0	1	0	0	1
46	215	plante	p/1 l/0 a/0 n/0 t/0 e/1 r/0	p/1 l/0 a/0 n/0 T/1 E/0 r/0	p/1 l/0 a/0 n/0 T/1 E/0 r/0	1	0	0	0	1
47	221	eam	r/1 e/0 a/0 m/0	/1 e/0 A/1 m/0	/1 e/0 A/1 m/0	0	0	0	1	1
48	222	cloiste	c/1 l/0 o/0 i/0 s/0 t/1 e/0 r/0	c/1 l/0 o/0 i/0 s/0 T/0 E/1 r/0	c/1 l/0 o/0 i/0 s/0 T/0 E/1 r/0	0	1	0	0	1
49	250	jesse	j/1 e/0 s/0 s/0 e/0	j/1 e/0 s/0 S/1 e/0	j/1 e/0 s/0 S/1 e/0	0	0	0	1	1
50	265	myelin	m/1 y/0 e/1 l/1 i/0 n/0	m/1 y/0 E/0 l/1 i/0 n/0	m/1 y/0 E/0 l/1 i/0 n/0	0	1	0	0	1
51	266	equiem	r/1 e/0 q/0 u/1 i/0 e/1 m/0	/1 e/0 Q/1 U/0 i/0 e/1 m/0	/1 e/0 Q/1 U/0 i/0 e/1 m/0	1	0	0	0	1
52	267	fathe	f/1 a/0 t/1 h/0 e/0 r/0	f/1 a/0 T/0 h/0 E/1 r/0	f/1 a/0 T/0 h/0 E/1 r/0	0	0	1	0	1
